,concept,subject,first_quarter,last_quarter,overall
301,hg102,ced,0.3333333333333333,0.3076923076923077,0.375
302,hg103,aai,0.5555555555555556,0.3,0.4473684210526316
303,hg103,ach,0.4444444444444444,0.8,0.5526315789473685
304,hg103,afc,0.5555555555555556,0.5,0.5526315789473685
305,hg103,ami,0.7777777777777778,0.6,0.5263157894736842
306,hg103,ane,0.6666666666666666,0.5,0.47368421052631576
307,hg103,aof,0.6666666666666666,0.4,0.5789473684210527
308,hg103,aog,0.6666666666666666,0.2,0.6052631578947368
309,hg103,atb,0.6666666666666666,0.4,0.6052631578947368
310,hg103,aws,0.4444444444444444,0.2,0.5526315789473685
311,hg103,azf,0.4444444444444444,0.6,0.631578947368421
312,hg103,azp,0.2222222222222222,0.4,0.631578947368421
313,hg103,bcy,0.2222222222222222,0.3,0.39473684210526316
314,hg103,blz,0.6666666666666666,0.4,0.5263157894736842
315,hg103,bpz,0.2222222222222222,0.4,0.5526315789473685
316,hg103,bqq,0.4444444444444444,0.4,0.5789473684210527
317,hg103,bty,0.6666666666666666,0.7,0.5789473684210527
318,hg103,bxy,0.6666666666666666,0.7,0.7105263157894737
319,hg103,cai,0.6666666666666666,0.4,0.5789473684210527
320,hg103,cay,0.3333333333333333,0.6,0.47368421052631576
321,hg103,ccm,0.6666666666666666,0.4,0.6578947368421053
322,hg103,cjs,0.4444444444444444,0.8,0.631578947368421
323,hg103,clc,0.6666666666666666,1.0,0.7368421052631579
324,hg104,ach,0.8,1.0,0.8292682926829268
325,hg104,afs,0.3,0.5454545454545454,0.4146341463414634
326,hg104,agw,0.3,0.7272727272727273,0.4634146341463415
327,hg104,amz,0.8,1.0,0.7804878048780488
328,hg104,aof,0.9,1.0,0.8292682926829268
329,hg104,avu,0.1,0.5454545454545454,0.3902439024390244
330,hg104,azp,0.4,1.0,0.7073170731707317
331,hg104,bag,0.9,0.8181818181818182,0.6585365853658537
332,hg104,bar,0.6,0.5454545454545454,0.5853658536585366
333,hg104,bct,0.9,0.7272727272727273,0.6829268292682927
334,hg104,bgn,0.3,0.8181818181818182,0.6097560975609756
335,hg104,bhm,0.6,0.45454545454545453,0.4878048780487805
336,hg104,bjq,0.6,0.45454545454545453,0.4634146341463415
337,hg104,bng,0.4,0.45454545454545453,0.4146341463414634
338,hg104,bqq,0.6,0.45454545454545453,0.5609756097560976
339,hg104,bwz,0.4,0.6363636363636364,0.5365853658536586
340,hg104,byh,0.8,0.5454545454545454,0.5121951219512195
341,hg104,bzl,0.5,1.0,0.7073170731707317
342,hg104,cab,0.4,0.36363636363636365,0.4146341463414634
343,hg104,cak,0.4,0.7272727272727273,0.6097560975609756
344,hg104,cch,0.9,0.45454545454545453,0.6097560975609756
345,hg104,ceb,0.8,0.6363636363636364,0.5853658536585366
346,hg104,cfw,0.3,1.0,0.8048780487804879
347,hg104,cjs,0.5,0.36363636363636365,0.36585365853658536
348,hg104,clc,0.9,0.6363636363636364,0.5365853658536586
349,hg105,aby,0.3333333333333333,1.0,0.7083333333333334
350,hg105,aib,0.4166666666666667,0.3076923076923077,0.4166666666666667
351,hg105,aoi,0.5833333333333334,0.46153846153846156,0.4791666666666667
352,hg105,att,0.5833333333333334,1.0,0.7916666666666666
353,hg105,auv,0.4166666666666667,1.0,0.6666666666666666
354,hg105,awf,0.5833333333333334,0.6153846153846154,0.5416666666666666
355,hg105,aws,0.4166666666666667,1.0,0.7916666666666666
356,hg105,bew,0.4166666666666667,0.7692307692307693,0.6458333333333334
357,hg105,bgd,0.5,0.9230769230769231,0.7916666666666666
358,hg105,bii,0.5,0.7692307692307693,0.5416666666666666
359,hg105,bka,0.16666666666666666,0.38461538461538464,0.3333333333333333
360,hg105,bqd,0.5,0.38461538461538464,0.4583333333333333
361,hg105,bty,0.3333333333333333,0.6153846153846154,0.5
362,hg105,bup,0.4166666666666667,1.0,0.8125
363,hg105,bxu,0.3333333333333333,0.38461538461538464,0.4791666666666667
364,hg105,cam,0.5833333333333334,0.6923076923076923,0.5833333333333334
365,hg105,cch,0.3333333333333333,1.0,0.6458333333333334
366,hg105,cdv,0.5,0.7692307692307693,0.5833333333333334
367,hg105,cdw,0.3333333333333333,0.6153846153846154,0.5625
368,hg105,cfw,0.5,0.8461538461538461,0.75
369,hg105,ckr,0.3333333333333333,0.6923076923076923,0.6666666666666666
370,hg105,cle,0.3333333333333333,0.6153846153846154,0.3541666666666667
371,hg106,abm,0.6666666666666666,0.6153846153846154,0.625
372,hg106,ach,0.6666666666666666,0.7692307692307693,0.7083333333333334
373,hg106,acq,0.75,0.8461538461538461,0.75
374,hg106,ada,0.6666666666666666,0.8461538461538461,0.6666666666666666
375,hg106,adq,0.75,0.8461538461538461,0.7083333333333334
376,hg106,aef,0.5833333333333334,0.7692307692307693,0.625
377,hg106,aez,0.6666666666666666,0.9230769230769231,0.7083333333333334
378,hg106,afc,0.4166666666666667,0.6153846153846154,0.5833333333333334
379,hg106,afs,0.6666666666666666,0.7692307692307693,0.625
380,hg106,ahb,0.6666666666666666,0.8461538461538461,0.75
381,hg106,ajc,0.6666666666666666,0.7692307692307693,0.6875
382,hg106,ajt,0.75,0.46153846153846156,0.5833333333333334
383,hg106,anx,0.6666666666666666,0.6153846153846154,0.7083333333333334
384,hg106,aoi,0.5833333333333334,0.8461538461538461,0.6666666666666666
385,hg106,atb,0.75,0.8461538461538461,0.75
386,hg106,atm,0.75,0.7692307692307693,0.7083333333333334
387,hg106,aws,0.75,0.8461538461538461,0.75
388,hg106,bcr,0.5833333333333334,0.5384615384615384,0.625
389,hg106,bgm,0.8333333333333334,0.9230769230769231,0.75
390,hg106,bkc,0.6666666666666666,0.7692307692307693,0.75
391,hg106,bxu,0.75,0.7692307692307693,0.6875
392,hg106,cak,0.5,0.8461538461538461,0.6458333333333334
393,hg106,ccf,0.8333333333333334,0.8461538461538461,0.8125
394,hg106,ceb,0.75,0.9230769230769231,0.7708333333333334
395,hg106,clc,0.75,0.6923076923076923,0.7083333333333334
396,hg107,aan,0.2,0.5454545454545454,0.5365853658536586
397,hg107,abz,0.6,0.45454545454545453,0.7073170731707317
398,hg107,aml,0.3,0.6363636363636364,0.6097560975609756
399,hg107,amz,0.3,0.45454545454545453,0.6829268292682927
400,hg107,aqw,0.2,0.6363636363636364,0.6341463414634146
401,hg107,aso,0.1,0.6363636363636364,0.5853658536585366
402,hg107,auh,0.4,0.5454545454545454,0.6585365853658537
403,hg107,aws,0.5,1.0,0.7073170731707317
404,hg107,azk,0.4,0.6363636363636364,0.5365853658536586
405,hg107,bew,0.3,0.8181818181818182,0.6585365853658537
406,hg107,bhm,0.5,0.8181818181818182,0.7560975609756098
407,hg107,bly,0.2,0.45454545454545453,0.5365853658536586
408,hg107,brc,0.5,0.36363636363636365,0.6585365853658537
409,hg107,bty,0.6,0.6363636363636364,0.7560975609756098
410,hg107,bwl,0.3,0.45454545454545453,0.5365853658536586
411,hg107,bws,0.3,0.8181818181818182,0.5853658536585366
412,hg107,cai,0.5,0.6363636363636364,0.6585365853658537
413,hg107,cap,0.6,0.36363636363636365,0.5853658536585366
414,hg107,ccm,0.3,0.18181818181818182,0.5121951219512195
415,hg107,ceb,0.3,0.6363636363636364,0.6585365853658537
416,hg107,cfw,0.3,0.36363636363636365,0.5609756097560976
417,hg107,cjg,0.6,0.2727272727272727,0.3902439024390244
418,hg107,ckj,0.6,0.45454545454545453,0.7073170731707317
419,hg108,abx,0.6,0.45454545454545453,0.5476190476190477
420,hg108,abz,0.6,0.7272727272727273,0.6666666666666666
421,hg108,agu,0.7,0.5454545454545454,0.5
422,hg108,aib,0.3,0.2727272727272727,0.40476190476190477
423,hg108,aog,0.5,0.45454545454545453,0.42857142857142855
424,hg108,asn,0.5,0.8181818181818182,0.5476190476190477
