,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
102,hg90,0.4878048780487805,0.5,0.4,gemma_2b-it,14.285714285714285,23.80952380952381,-0.13157894736842102
103,hg91,0.62,0.8333333333333334,0.4166666666666667,gemma_2b-it,4.545454545454546,54.54545454545455,0.007246376811594235
104,hg92,0.4782608695652174,0.6363636363636364,0.18181818181818182,gemma_2b-it,4.166666666666667,0.0,-0.3136363636363636
105,hg93,0.7291666666666666,0.9166666666666666,0.5,gemma_2b-it,18.181818181818183,54.54545454545455,0.016666666666666607
106,hg94,0.627906976744186,0.7,0.2,gemma_2b-it,4.545454545454546,4.545454545454546,-0.30000000000000004
107,hg95,0.6904761904761905,0.9,0.3,gemma_2b-it,4.3478260869565215,8.695652173913043,-0.09999999999999998
108,hg96,0.7906976744186046,1.0,0.3,gemma_2b-it,10.0,100.0,0.0
109,hg97,0.5813953488372093,0.7,0.4,gemma_2b-it,18.181818181818183,27.272727272727273,-0.10000000000000009
110,hg98,0.6097560975609756,0.6,0.4,gemma_2b-it,17.391304347826086,13.043478260869565,-0.2333333333333334
111,hg99,0.5581395348837209,0.5,0.6,gemma_2b-it,9.523809523809524,0.0,-0.5
0,hg01,0.9722222222222222,1.0,0.8888888888888888,gemma_2b,95.45454545454547,100.00000000000001,0.0
1,hg02,1.0,1.0,1.0,gemma_2b,100.0,100.0,0.0
2,hg03,0.7254901960784313,0.6666666666666666,0.6666666666666666,gemma_2b,4.0,4.0,-0.33333333333333337
3,hg04,0.8043478260869565,0.9090909090909091,0.9090909090909091,gemma_2b,9.090909090909092,9.090909090909092,-0.09090909090909094
4,hg05,0.6851851851851852,0.7692307692307693,0.5384615384615384,gemma_2b,4.166666666666667,4.166666666666667,-0.23076923076923073
5,hg06,0.5581395348837209,0.9,0.4,gemma_2b,8.695652173913043,43.47826086956522,-0.09999999999999998
6,hg07,0.9215686274509803,1.0,1.0,gemma_2b,31.81818181818182,100.00000000000001,0.0
7,hg08,0.627906976744186,0.9,0.4,gemma_2b,12.0,16.0,-0.09999999999999998
8,hg09,0.8541666666666666,0.8333333333333334,0.8333333333333334,gemma_2b,17.391304347826086,4.3478260869565215,-0.16666666666666663
9,hg100,0.6666666666666666,0.5555555555555556,0.4444444444444444,gemma_2b,38.095238095238095,14.285714285714285,-0.33333333333333326
10,hg101,0.7,0.8,0.5,gemma_2b,68.18181818181819,72.72727272727273,0.1611111111111112
11,hg102,0.4716981132075472,0.3076923076923077,0.6153846153846154,gemma_2b,25.0,8.333333333333334,-0.24230769230769234
12,hg103,0.7692307692307693,0.8888888888888888,0.6666666666666666,gemma_2b,86.36363636363637,81.81818181818183,0.36257309941520466
13,hg104,0.6666666666666666,0.7,0.6,gemma_2b,54.16666666666667,37.5,-0.17500000000000004
14,hg105,0.7551020408163265,0.5833333333333334,0.75,gemma_2b,59.09090909090909,18.181818181818183,-0.3114035087719298
15,hg106,0.7547169811320755,0.7692307692307693,0.7692307692307693,gemma_2b,68.0,60.0,0.019230769230769273
16,hg107,0.75,0.7272727272727273,0.7272727272727273,gemma_2b,65.21739130434783,47.826086956521735,-0.022727272727272707
17,hg108,0.3409090909090909,0.6363636363636364,0.09090909090909091,gemma_2b,0.0,48.0,-0.010695187165775444
18,hg109,0.725,0.9,0.6,gemma_2b,8.0,68.0,0.050000000000000044
19,hg10,0.7619047619047619,0.9,0.8,gemma_2b,0.0,0.0,-0.09999999999999998
20,hg110,0.9111111111111111,1.0,0.8181818181818182,gemma_2b,100.0,100.0,0.368421052631579
21,hg111,0.6140350877192983,0.6428571428571429,0.42857142857142855,gemma_2b,65.21739130434783,52.17391304347826,0.03416149068322982
